Booking ID,Customer ID,_target_completed_,_target_completed_,pick_latitude,Ride Distance_fill_scaled,pick_longitude,drop_latitude,drop_longitude,pick_station_longitude,snowfall_dropoff_log_scaled,precipitation_dropoff_log_scaled,rain_dropoff_log_scaled,wind_speed_10m_scaled,wind_speed_10m_dropoff_scaled,rain_log_scaled,pick_station_latitude,precipitation_log_scaled,relative_humidity_2m_dropoff_scaled,dew_point_2m_dropoff_scaled,drop_station_longitude,snowfall_log_scaled,dew_point_2m_scaled
"""CNR3077009""","""CID7339372""",0,0,25.32605,-1.4751385,88.32989,26.871035,80.91123,77.23378,0.0,0.26236427,0.26236427,0.03333333,-0.375,0.4054651,28.6626,0.4054651,0.65217394,0.08163265,77.20925,0.0,-0.07638889
"""CNR8182470""","""CID5277774""",0,0,22.725468,-0.000467298,75.89075,28.78792,77.34444,77.49596,0.0,0.0,0.0,1.9,1.8214285,0.0,28.452974,0.0,-0.95652175,-0.3809524,77.154465,0.0,-0.5138889
"""CNR1319734""","""CID5705618""",0,0,28.65335,-0.73548466,77.18854,28.520828,77.177734,77.14844,0.0,0.0,0.0,-0.35,-0.2857143,0.0,28.655447,0.0,-0.08695652,-0.40816328,77.226006,0.0,-0.5486111
"""CNR5106318""","""CID6064189""",0,0,28.641645,-1.28176,77.2388,28.649773,77.13364,77.2158,0.0,0.0,0.0,0.25,-0.08928572,0.0,28.529404,0.0,0.6086956,-0.43537414,77.228546,0.0,-0.5555556
"""CNR6997738""","""CID8100240""",0,0,28.655672,0.001143475,77.22989,28.679125,77.09597,77.267715,0.0,0.0,0.0,-0.2,-0.17857143,0.0,28.51489,0.0,0.32608697,-0.6462585,77.025925,0.0,-0.8472222
"""CNR8955986""","""CID5811676""",0,0,28.623646,0.001991443,77.21312,28.54855,77.25133,72.857124,0.0,0.0,0.0,0.9,-0.9285714,0.0,19.17851,0.0,0.39130434,-0.14285715,77.31175,0.0,0.03472222
"""CNR6719922""","""CID5388696""",0,0,28.567816,0.001143475,77.22558,26.82399,75.54525,77.21962,0.0,0.0,0.0,-0.71666664,-0.75,0.0,28.631678,0.0,0.17391305,0.07482993,77.28681,0.0,-0.0625
"""CNR3794393""","""CID7705402""",0,0,22.559118,-1.7430091,72.96105,28.736036,77.15907,77.995,0.0,0.0,0.0,0.26666668,1.125,0.0,27.182247,0.0,-0.9782609,-0.5510204,77.19546,0.0,-0.43055555
"""CNR9300476""","""CID1204010""",0,0,28.474245,-0.000467298,77.027115,28.666765,77.22911,79.84308,0.0,0.0,0.0,-0.7,-0.23214285,0.0,12.24375,0.0,0.32608697,-0.04761905,77.022766,0.0,0.4652778
"""CNR8902446""","""CID5324800""",0,0,28.543747,0.001143475,77.19859,28.67082,77.27208,82.99381,0.0,0.0,0.0,2.25,2.017857,0.0,25.266867,0.0,-1.173913,-0.70068026,80.96581,0.0,-0.6527778
"""CNR5282382""","""CID8389149""",0,0,28.467754,0.001143475,77.081924,28.425138,77.05795,80.03546,0.0,0.0,0.0,0.8833333,0.3392857,0.0,16.241194,0.0,0.3043478,-0.07482993,77.2388,0.0,0.4861111
"""CNR8480669""","""CID5842925""",0,0,28.655672,-0.001031591,77.22989,28.603203,77.22772,81.77472,0.0,1.0986123,1.0986123,-0.48333332,-0.125,0.0,27.09166,0.0,0.6086956,0.52380955,83.16872,0.0,-0.4236111
"""CNR4015747""","""CID3226391""",0,0,28.602245,0.0,77.229126,28.560602,77.27576,77.21962,0.0,0.0,0.0,0.16666667,0.035714287,0.0,28.631678,0.0,-0.2173913,-0.27891156,77.2586,0.0,-0.38194445
"""CNR4016813""","""CID2859411""",0,0,28.585354,-0.000467298,77.09247,28.47873,77.12095,74.191,0.0,0.0,0.0,-0.71666664,-0.10714286,0.0,30.46431,0.0,0.26086956,-0.15646258,77.184494,0.0,-0.2777778
"""CNR1990466""","""CID9719135""",0,0,28.707901,-0.016104063,77.12597,28.539013,77.22837,77.27787,0.0,0.0,0.0,0.21666667,0.625,0.0,28.53446,0.0,-0.36956522,-0.6122449,77.007195,0.0,-0.8541667
"""CNR9515752""","""CID6263994""",0,0,28.529404,0.001143475,77.2158,28.98153,77.71799,78.75845,0.0,0.87546873,0.87546873,0.13333334,2.982143,0.0,27.24801,0.0,0.4347826,0.585034,73.73794,0.0,0.75
"""CNR1686260""","""CID5871417""",0,0,25.601805,-1.2689685,85.114876,28.65335,77.18854,92.59606,0.0,0.0,0.0,-0.68333334,-0.2857143,0.0,24.86852,0.0,0.5869565,0.6258503,77.025925,0.0,0.7361111
"""CNR7891359""","""CID6734401""",0,0,28.666765,-0.000467298,77.22911,28.61262,77.23014,77.267715,0.0,0.0,0.0,2.9166667,1.0714285,0.0,28.51489,0.0,-0.36956522,0.37414965,77.93497,0.0,0.041666668
"""CNR6597645""","""CID5981029""",0,0,28.52949,-0.001031591,77.154465,28.6536,77.29579,77.0375,0.0,0.0,0.0,-0.5,-0.5714286,0.0,28.4705,0.0,0.5,0.63265306,77.43225,0.0,0.49305555
"""CNR2771957""","""CID5197177""",0,0,28.688105,-0.016104063,77.22179,28.595858,77.38618,77.08664,0.0,0.0,0.0,0.8666667,-0.16071428,0.0,28.553684,0.0,-0.7826087,-0.43537414,75.89075,0.0,-0.8263889
"""CNR6083768""","""CID5739884""",0,0,28.36005,0.0,76.94139,28.67079,77.31175,82.13893,0.0,0.0,0.0,1.5,0.3392857,0.0,26.76184,0.0,-0.7173913,-0.36734694,82.54485,0.0,-0.8888889
"""CNR3562857""","""CID9999204""",0,0,28.621948,0.001143475,77.08732,28.56103,77.20419,77.18854,0.0,0.0,0.0,-0.4,-0.16071428,0.0,28.65335,0.0,0.5869565,0.013605442,77.267715,0.0,-0.125
"""CNR2175842""","""CID1093345""",0,0,28.659456,-0.001031591,77.23337,28.541252,77.1551,77.077545,0.0,0.47000363,0.47000363,0.38333333,-0.4107143,0.09531018,28.467205,0.09531018,0.7173913,0.829932,77.57186,0.0,0.6597222
"""CNR6056756""","""CID4525104""",0,0,28.648544,0.0,77.20304,28.676851,77.22503,77.10925,0.0,0.0,0.0,-1.1,0.035714287,0.0,31.95845,0.0,-0.10869565,-0.40136054,77.178375,0.0,-1.1805556
"""CNR7887894""","""CID7338631""",0,0,28.141617,0.0,77.57186,28.669952,77.09568,85.17962,0.0,0.0,0.0,0.9166667,1.2142857,0.0,25.849085,0.0,0.45652175,0.9863946,80.38091,0.0,0.6180556
"""CNR5584951""","""CID9914124""",0,0,28.672995,0.001991443,77.146126,28.52202,77.20925,77.13942,0.0,0.0,0.0,2.3166666,2.5357144,0.0,28.661482,0.0,-0.67391306,-0.14965986,77.13126,0.0,-0.2847222
"""CNR8998984""","""CID9480647""",0,0,22.22374,0.0,81.31663,16.278538,80.38091,77.29579,0.0,0.0,0.0,-0.6666667,-0.71428573,0.0,28.6536,0.0,-0.32608697,-0.30612245,77.21747,0.0,-0.5208333
"""CNR4815576""","""CID2991974""",0,0,28.474245,0.001143475,77.027115,28.64211,77.21854,88.32989,0.0,0.0,0.0,-0.46666667,1.7857143,0.0,25.32605,0.0,-0.6956522,-0.034013607,77.022766,0.0,0.5277778
"""CNR9721839""","""CID2794206""",0,0,28.541252,-0.001031591,77.1551,28.534342,77.21239,80.38091,0.0,0.0,0.0,-0.25,1.6785715,0.0,16.278538,0.0,0.04347826,0.56462586,76.03452,0.0,0.24305555
"""CNR7366265""","""CID3491623""",0,0,28.56586,0.001143475,77.24855,28.467205,77.077545,77.306725,0.0,0.0,0.0,-0.75,-0.875,0.0,28.646313,0.0,0.7173913,0.5782313,77.33438,0.0,0.4652778
"""CNR9578519""","""CID7039641""",0,0,24.09749,-0.000467298,77.2684,28.652094,77.23724,76.858475,0.0,0.0,0.0,0.0,0.4642857,0.0,28.203962,0.0,0.36956522,-0.61904764,77.08174,0.0,-0.7847222
"""CNR1229459""","""CID2872593""",0,0,33.07787,-0.000467298,75.70859,28.679077,77.09427,72.857124,0.0,0.0,0.0,1.95,1.4464285,1.2809339,19.17851,1.2809339,0.23913044,0.82312924,76.94139,0.0,0.5555556
"""CNR9914435""","""CID9736398""",0,0,25.46445,0.0,80.34791,28.67082,77.27208,72.841255,0.0,0.0,0.0,0.2,0.05357143,0.0,21.207254,0.0,0.65217394,-0.61904764,77.17827,0.0,-0.5486111
"""CNR3338665""","""CID7138677""",0,0,28.652094,-0.001031591,77.23724,28.539013,77.22837,77.36926,0.0,0.0,0.0,1.1666666,1.3928572,0.0,28.633667,0.0,-0.5869565,0.04761905,77.29554,0.0,-0.0625
"""CNR7889839""","""CID2256482""",0,0,28.65055,0.001143475,77.23517,28.676851,77.22503,77.30163,0.0,0.0,0.0,0.083333336,-0.017857144,0.0,28.646723,0.0,0.6956522,-0.56462586,77.027115,0.0,-0.7708333
"""CNR6798010""","""CID7633388""",0,0,28.67318,0.001143475,77.1215,28.594776,77.18921,85.148,0.0,0.0,0.0,0.56666666,0.75,0.0,25.615526,0.0,-0.8913044,-0.4489796,77.135445,0.0,-0.4652778
"""CNR6583580""","""CID7793791""",0,0,28.661482,-1.4826629,77.13942,28.994528,77.025925,77.21148,0.0,0.0,0.0,1.1,0.96428573,0.0,28.57774,0.0,-0.45652175,0.40136054,77.21992,0.0,0.3402778
"""CNR8155648""","""CID9763611""",0,0,30.552355,-1.3389459,75.6543,28.203962,76.858475,77.22837,0.0,0.0,0.0,1.2,0.42857143,0.0,28.539013,0.0,-1.2173913,-1.0340136,77.38618,0.0,-1.1805556
"""CNR3673968""","""CID2321175""",0,0,28.682968,-0.000467298,77.2875,28.203962,76.858475,77.30754,0.0,0.0,0.0,0.8833333,1.1964285,0.0,28.417988,0.0,-0.7173913,0.006802721,77.12799,0.0,-0.29166666
"""CNR3991642""","""CID6934279""",0,0,28.65335,0.0,77.18854,26.37442,79.66586,73.73794,0.0,0.0,0.0,2.1666667,0.39285713,2.261763,18.587704,2.261763,-0.04347826,0.8435374,77.23981,0.0,0.4513889
"""CNR1836992""","""CID5476148""",0,0,28.631678,-0.001031591,77.21962,28.655672,77.22989,77.25323,0.0,0.0,0.0,1.7166667,0.96428573,0.0,28.549183,0.0,-1.1304348,-0.6802721,77.2158,0.0,-0.9722222
"""CNR2635758""","""CID2429857""",0,0,28.462242,0.001143475,77.03112,28.614937,77.022766,78.45524,0.0,0.0,0.0,0.36666667,1.2678572,0.0,17.409283,0.0,-0.3478261,0.040816326,77.08953,0.0,-0.20833333
"""CNR5523868""","""CID9246047""",0,0,28.653786,0.001143475,77.31225,28.533098,77.08953,81.80577,0.0,0.0,0.0,-0.03333333,-1.3392857,0.0,25.7294,0.0,0.13043478,0.6394558,79.48736,0.0,0.6111111
"""CNR1358804""","""CID5070229""",0,0,11.253984,0.001143475,75.83322,16.696741,74.22492,77.400276,0.0,0.0,0.0,0.45,0.44642857,0.09531018,28.685629,0.09531018,0.2826087,0.79591835,77.12701,0.0,0.6458333
"""CNR2979912""","""CID3000730""",0,0,28.565979,-1.171903,77.25081,28.54532,77.12725,88.53007,0.0,0.0,0.0,-0.25,-0.98214287,0.0,22.97448,0.0,0.13043478,-0.3265306,79.523674,0.0,-0.13194445
"""CNR1709586""","""CID9106603""",0,0,28.67082,-0.000467298,77.27208,28.67318,77.1215,76.858475,0.0,0.0,0.0,-0.43333334,-0.19642857,0.0,28.203962,0.0,0.6086956,0.60544217,77.04513,0.0,0.45833334
"""CNR7879366""","""CID2801936""",0,0,28.56586,-0.001031591,77.24855,28.543747,77.19859,73.77313,0.0,0.0,0.0,-1.2,-0.91071427,0.0,18.541842,0.0,0.36956522,-0.4217687,77.20419,0.0,-0.6180556
"""CNR7528435""","""CID2937225""",0,0,28.651484,-1.1395478,77.238174,28.610394,77.213104,86.17708,0.0,0.0,0.0,0.16666667,0.51785713,0.0,25.02454,0.0,0.2826087,0.43537414,77.69183,0.0,0.03472222
"""CNR2069547""","""CID3021792""",0,0,28.667273,0.001143475,77.228546,27.42397,77.09922,81.49035,0.0,0.0,0.0,-1.15,-0.2857143,0.0,26.5088,0.0,-0.3478261,-0.33333334,78.75845,0.0,-0.375
"""CNR9015225""","""CID1912144""",0,0,25.37841,-1.6316471,81.5113,28.567816,77.22558,77.25081,0.0,0.0,0.0,-0.56666666,-0.4107143,0.0,28.565979,0.0,-0.32608697,0.6938776,77.2388,0.0,0.6041667
"""CNR7226635""","""CID1966524""",0,0,28.677586,0.0,77.09482,28.497711,77.10076,78.455284,0.0,0.0,0.0,0.016666668,0.4642857,0.0,17.488895,0.0,0.67391306,-0.17006803,77.02635,0.0,-0.19444445
"""CNR8722542""","""CID5854602""",0,0,28.6434,-0.000467298,77.33814,28.4121,77.04708,75.22148,0.0,0.0,0.0,-0.11666667,-1.3928572,0.0,19.93611,0.0,-0.39130434,0.2244898,79.184,0.0,-0.1736111
"""CNR1224142""","""CID7954248""",0,0,28.67347,0.0,77.17038,29.99021,77.33438,77.3,0.0,0.0,0.0,0.11666667,0.71428573,0.0,28.48333,0.0,-0.95652175,-0.49659863,77.09922,0.0,-0.6944444
"""CNR4342366""","""CID5314154""",0,0,28.65335,0.0,77.18854,28.653786,77.31225,88.372955,0.0,0.0,0.0,-0.1,-1.0,0.0,22.598003,0.0,0.73913044,-0.6122449,77.17049,0.0,-0.29166666
"""CNR4318974""","""CID9371525""",0,0,28.466677,0.028481131,77.51005,28.617956,77.27942,77.21135,0.0,0.0,0.0,1.0166667,-1.0357143,0.0,28.64169,0.0,-0.8043478,0.040816326,77.09922,0.0,-0.27083334
"""CNR1188448""","""CID2456073""",0,0,28.665752,0.0,77.21747,24.62422,77.59341,83.32879,0.0,0.5877867,0.5877867,-0.85,1.125,0.18232156,17.74276,0.18232156,0.19565217,0.8367347,83.17844,0.0,0.6597222
"""CNR5965911""","""CID3000232""",0,0,28.617956,-0.000467298,77.27942,28.6626,77.23378,77.01959,0.0,0.0,0.0,3.4833333,-0.10714286,0.26236427,10.921869,0.26236427,-0.04347826,0.75510204,77.24662,0.0,0.41666666
"""CNR9156788""","""CID2529646""",0,0,28.65055,0.028481131,77.23517,28.474245,77.027115,76.73144,0.0,0.0,0.0,-0.4,-0.19642857,0.0,30.69881,0.0,0.13043478,-0.013605442,77.21135,0.0,-0.4236111
"""CNR2687265""","""CID4628955""",0,0,28.64169,0.0,77.21135,27.7106,77.08396,82.07184,0.0,0.0,0.0,-0.7,-0.19642857,0.0,26.263977,0.0,-0.7173913,-0.5782313,75.89075,0.0,-0.30555555
"""CNR4303532""","""CID5035762""",0,0,12.51609,-0.000467298,78.48685,17.148443,79.62289,77.21747,0.0,0.0,0.0,0.33333334,1.0535715,0.0,28.665752,0.0,-0.8043478,-0.31292516,79.184,0.0,-0.8125
"""CNR4379975""","""CID2134178""",0,0,28.615982,0.0,77.25019,28.57714,77.35582,81.80438,0.0,0.0,0.0,0.71666664,-0.23214285,0.0,17.056057,0.0,-0.7826087,-0.5170068,77.3245,0.0,-0.35416666
"""CNR5653221""","""CID9944902""",0,0,28.48434,-0.001031591,77.10687,28.493439,77.147964,77.30163,0.0,0.0,0.0,1.3833333,1.6428572,0.0,28.646723,0.0,0.26086956,0.72789115,77.21148,0.0,0.625
"""CNR8130802""","""CID9394015""",0,0,28.53446,0.0,77.27787,28.474245,77.027115,77.21239,0.0,0.0,0.0,0.03333333,-0.017857144,0.0,28.534342,0.0,-0.2173913,0.21768707,77.27576,0.0,0.006944444
"""CNR8314613""","""CID2885446""",0,0,28.548239,0.001143475,77.25216,18.432281,79.13572,77.1706,0.0,0.0,0.0,-0.8,-0.85714287,0.0,28.555119,0.0,0.6956522,0.76870745,77.2048,0.0,0.6388889
"""CNR5928851""","""CID8306322""",0,0,28.48434,0.001143475,77.10687,28.736036,77.15907,78.06895,0.0,0.0,0.0,-0.53333336,0.14285715,0.0,30.318413,0.0,-0.41304347,0.6462585,78.00002,0.0,0.3472222
"""CNR3313659""","""CID8213927""",0,0,28.652094,0.028481131,77.23724,28.724056,77.17586,77.71799,0.0,0.0,0.0,-0.68333334,-0.10714286,0.0,28.98153,0.0,-0.7826087,0.26530612,77.077545,0.0,0.125
"""CNR1895353""","""CID4880344""",0,0,25.536083,-0.4367638,82.06294,30.56532,77.27633,77.072655,0.0,0.0,0.0,-0.35,-0.60714287,0.0,28.459343,0.0,-0.7173913,0.3537415,77.20781,0.0,0.2361111
"""CNR5334307""","""CID8597436""",0,0,28.61262,0.001143475,77.23014,28.52542,77.18773,77.09922,0.0,0.0,0.0,-0.71666664,0.14285715,0.0,27.42397,0.0,-0.19565217,0.2585034,77.154465,0.0,0.1875
"""CNR4994490""","""CID8348438""",0,0,33.07787,0.0,75.70859,27.42397,77.09922,77.18921,0.0,0.0,0.0,-0.53333336,0.017857144,0.0,28.594776,0.0,0.41304347,0.65986395,77.08396,0.0,0.5138889
"""CNR3190058""","""CID2897036""",0,0,28.59662,0.001991443,77.192215,28.652094,77.23724,77.51005,0.0,0.0,0.0,0.25,-0.21428572,0.0,28.466677,0.0,-0.5869565,0.39455783,77.213104,0.0,0.21527778
"""CNR1248676""","""CID4288829""",0,0,29.25728,0.028481131,78.3989,28.567816,77.22558,77.12725,0.0,0.0,0.0,-0.55,-1.1428572,0.0,28.54532,0.0,0.6304348,-0.4489796,77.10718,0.0,-0.5833333
"""CNR9007309""","""CID1972610""",0,0,25.7294,-1.0409775,81.80577,26.871035,80.91123,77.147964,0.0,0.0,0.0,0.15,-0.375,0.0,28.493439,0.0,0.39130434,0.8027211,77.14454,0.0,0.6666667
"""CNR7864929""","""CID7456289""",0,0,28.619066,0.028481131,77.36427,28.994528,77.025925,77.1706,0.0,0.47000363,0.47000363,-0.05,0.08928572,1.0647107,28.555119,1.0647107,0.6086956,0.68707484,77.16919,0.0,0.5486111
"""CNR8319589""","""CID9751564""",0,0,28.474245,0.0,77.027115,28.64211,77.21854,77.294624,0.0,0.0,0.0,0.016666668,0.017857144,0.0,28.594193,0.0,-0.08695652,0.7210884,77.213104,0.0,0.5902778
"""CNR9277296""","""CID4398009""",0,0,24.09749,-0.000467298,77.2684,28.653786,77.31225,77.52059,0.0,0.0,0.0,-0.18333334,0.375,0.0,12.912895,0.0,0.10869565,0.06122449,79.30918,0.0,-0.1875
"""CNR1786873""","""CID2753469""",0,0,12.979087,0.0,77.567856,28.61262,77.23014,84.84996,0.0,0.0,0.0,-0.43333334,1.5535715,0.0,25.73018,0.0,0.39130434,0.3809524,77.567856,0.0,0.4097222
"""CNR5908072""","""CID7563863""",0,0,28.67079,0.0,77.31175,28.639738,77.227844,77.22837,0.0,0.0,0.0,-0.26666668,-1.0535715,0.0,28.539013,0.0,-0.8043478,-1.5102041,75.70859,0.0,-0.4513889
"""CNR7532565""","""CID3970002""",0,0,28.564001,0.001991443,77.23419,28.645643,77.12701,75.70859,0.0,0.0,0.0,-0.7,-0.89285713,0.0,33.07787,0.0,-0.45652175,0.19727892,77.1093,0.0,-0.8541667
"""CNR5417529""","""CID8385335""",0,0,28.574734,0.001143475,77.35616,27.42397,77.09922,77.3245,0.0,0.0,0.0,0.26666668,-0.14285715,0.0,28.679253,0.0,-0.08695652,-0.04761905,75.76884,0.0,-0.055555556
"""CNR4555209""","""CID5157387""",0,0,18.587704,0.001143475,73.73794,18.552378,73.89728,79.87257,0.0,0.0,0.0,-0.18333334,0.60714287,0.0,28.70441,0.0,-0.23913044,0.11564626,77.094734,0.0,0.2638889
"""CNR7160295""","""CID7082022""",0,0,28.708155,-0.016104063,77.18891,28.48333,77.3,77.30163,0.0,0.0,0.0,-0.36666667,-0.39285713,0.0,28.646723,0.0,-0.08695652,0.707483,77.22503,0.0,0.5833333
"""CNR2396012""","""CID1544237""",0,0,30.46431,-1.1914666,74.191,28.429296,77.10534,76.93171,0.0,0.0,0.0,0.0,0.035714287,0.0,28.692434,0.0,0.17391305,-0.2993197,77.09242,0.0,-0.4652778
"""CNR5303701""","""CID8325297""",0,0,12.51609,-0.54662085,78.48685,28.602245,77.229126,72.83629,0.0,0.0,0.0,-0.25,-0.44642857,0.0,19.0829,0.0,0.17391305,0.24489796,77.22911,0.0,0.3263889
"""CNR7447364""","""CID8717660""",0,0,28.546103,0.0,77.19498,28.56586,77.24855,77.20943,0.0,0.0,0.0,-0.31666666,-0.35714287,0.0,28.69422,0.0,-0.6304348,-0.6258503,77.227844,0.0,-0.7847222
"""CNR4652883""","""CID3266133""",0,0,28.548204,0.001143475,77.2048,28.36005,76.94139,77.1973,0.0,0.0,0.0,-0.45,-0.78571427,0.0,28.501589,0.0,0.36956522,0.8503401,77.18975,0.0,0.7013889
"""CNR2632761""","""CID2074056""",0,0,21.81919,-0.001031591,83.69089,21.386179,83.94715,77.23014,0.0,0.0,0.0,-0.083333336,0.071428575,0.0,28.61262,0.0,0.08695652,0.8095238,77.35616,0.0,0.7083333
"""CNR4283102""","""CID5410999""",0,0,21.207254,0.0,72.841255,22.559118,72.96105,77.154465,0.0,0.0,0.0,2.0333333,1.9642857,0.0,28.52949,0.0,-1.1956521,-0.99319726,77.18016,0.0,-1.1388888
"""CNR9118451""","""CID2862288""",0,0,28.464584,0.001991443,76.98282,27.42397,77.09922,80.26727,0.0,0.0,0.0,-0.8833333,-0.44642857,0.0,26.496489,0.0,-0.06521739,-0.68707484,79.523674,0.0,-0.090277776
"""CNR5718537""","""CID6197530""",0,0,28.641645,-0.7226931,77.2388,28.631254,77.22258,77.22558,0.0,0.0,0.0,0.6666667,0.76785713,0.0,28.567816,0.0,-0.5217391,0.20408164,77.09922,0.0,0.055555556
"""CNR6086384""","""CID6877987""",0,0,28.653786,0.001991443,77.31225,28.48434,77.10687,81.49035,0.0,0.0,0.0,0.51666665,0.035714287,0.0,26.5088,0.0,0.2826087,-0.5102041,77.21747,0.0,-0.5694444
"""CNR6470985""","""CID6019495""",0,0,28.63646,-0.000467298,77.28681,28.474245,77.027115,77.185616,0.0,0.0,0.0,0.31666666,-0.17857143,0.0,28.55001,0.0,-0.73913044,-0.50340134,77.43225,0.0,-0.7708333
"""CNR5310116""","""CID3386684""",0,0,22.95078,-0.001031591,79.184,28.452974,77.49596,77.21225,0.0,0.0,0.0,0.21666667,0.32142857,0.0,28.664396,0.0,-0.13043478,0.61904764,77.23517,0.0,0.5
"""CNR5605247""","""CID7853518""",0,0,28.685629,-1.6263801,77.400276,28.203962,76.858475,78.26159,0.0,1.3609766,1.3609766,0.7,0.58928573,0.5877867,27.72945,0.5877867,0.6086956,0.7482993,78.27917,0.0,0.6388889
"""CNR3040647""","""CID5814520""",0,0,28.400526,-0.016104063,77.04513,27.42397,77.09922,77.20505,0.0,0.0,0.0,-0.083333336,-0.6785714,0.0,28.54337,0.0,-0.73913044,-0.5986394,76.93171,0.0,-0.8402778
"""CNR1257247""","""CID4464058""",0,0,28.467205,-0.000467298,77.077545,28.474245,77.027115,82.06294,0.0,0.09531018,0.09531018,-0.05,0.98214287,0.53062826,25.536083,0.53062826,0.02173913,0.60544217,82.22143,0.0,0.6111111
"""CNR4191525""","""CID4471164""",0,0,28.555119,0.0,77.1706,28.661482,77.13942,77.02635,0.0,0.53062826,0.53062826,-1.2333333,-0.035714287,0.0,28.4601,0.0,0.6086956,0.8435374,78.02296,0.0,0.7430556
"""CNR2056717""","""CID9228590""",0,0,28.56755,-0.000467298,77.18559,28.472233,77.07272,81.5113,0.0,0.64185387,0.64185387,1.7,-0.5714286,0.0,25.37841,0.0,0.6086956,0.8027211,80.38091,0.0,0.2361111
"""CNR6964825""","""CID1259586""",0,0,28.708155,-0.000467298,77.18891,28.686014,77.43225,78.4231,0.0,0.0,0.0,1.9666667,-0.08928572,0.0,17.37114,0.0,0.06521739,0.8707483,77.27576,0.0,0.4027778
"""CNR9630438""","""CID5148512""",0,0,28.653786,0.001143475,77.31225,28.567411,77.23981,76.47899,0.0,0.0,0.0,0.73333335,-0.875,0.0,28.18916,0.0,-1.0652174,-0.4217687,77.995,0.0,-0.6041667
"""CNR6730458""","""CID4477673""",0,0,28.203962,-1.1342807,76.858475,28.65055,77.23517,82.15916,0.0,0.0,0.0,-1.1,0.23214285,0.0,25.49781,0.0,0.36956522,0.7210884,83.32879,0.0,0.44444445
"""CNR6190052""","""CID8543722""",0,0,24.09749,0.001143475,77.2684,28.543747,77.19859,77.217735,0.0,0.0,0.0,-0.78333336,-0.875,0.0,28.584036,0.0,0.6956522,0.7414966,77.1551,0.0,0.6527778
