hour,temperature_2m_pickup,relative_humidity_2m_pickup,dew_point_2m_pickup,precipitation_pickup,snowfall_pickup,wind_speed_10m_pickup,AvgVTAT_missing_flag,DriverRatings_missing_flag,Avg VTAT_fill,Avg CTAT_fill,Booking Value_fill,Ride Distance_fill,Driver Ratings_fill,Customer Rating_fill,Vehicle Type_Bike,Vehicle Type_Go Mini,Vehicle Type_Go Sedan,Vehicle Type_Premier Sedan,Vehicle Type_Uber XL,Vehicle Type_eBike,Vehicle Type
13,19.9,45.0,7.6,0.0,0.0,4.6,0,0,9.4,15.4,368.0,25.05,4.5,4.3,False,False,False,False,False,False,Auto
10,41.2,9.0,1.4,0.0,0.0,28.1,0,0,10.7,26.9,711.0,45.73,4.7,4.4,False,False,False,False,True,False,Uber XL
18,30.1,81.0,26.5,0.0,0.0,10.9,0,0,10.0,18.1,1592.0,29.9,3.4,4.6,False,True,False,False,False,False,Go Mini
14,18.7,87.0,16.5,0.1,0.0,0.0,0,0,11.6,37.8,474.0,39.18,4.6,4.9,False,False,False,False,True,False,Uber XL
19,7.3,95.0,6.6,0.0,0.0,7.7,0,1,4.2,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
8,28.3,39.0,13.1,0.0,0.0,7.2,0,1,9.2,29.201697075395764,510.3922726053126,24.640380332707274,4.229652996845426,4.404225662093757,True,False,False,False,False,False,Bike
17,28.8,44.0,15.2,0.0,0.0,11.2,0,1,2.8,23.7,386.0,13.69,4.238222222222222,4.404481481481481,False,False,False,False,True,False,Uber XL
18,23.7,94.0,22.7,0.0,0.0,3.7,0,1,5.2,11.9,1068.0,11.15,4.238222222222222,4.404481481481481,False,False,False,False,True,False,Uber XL
18,15.4,76.0,11.1,0.0,0.0,9.0,0,0,4.9,44.2,643.0,7.06,3.8,4.6,False,True,False,False,False,False,Go Mini
20,14.1,95.0,13.3,0.1,0.0,6.1,0,1,18.0,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
19,18.0,62.0,10.6,0.0,0.0,2.6,0,1,4.8,29.173641331849,508.02398542657625,24.611863171743753,4.22735351291308,4.404970841432935,False,True,False,False,False,False,Go Mini
15,17.8,43.0,5.0,0.0,0.0,8.7,0,0,14.2,27.1,244.0,33.13,4.2,3.7,True,False,False,False,False,False,Bike
8,25.1,90.0,23.3,6.2,0.0,9.3,0,1,10.4,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
13,18.0,34.0,1.8,0.0,0.0,7.2,0,1,7.1,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
14,27.0,85.0,24.2,0.0,0.0,6.8,0,1,9.9,29.173641331849,508.02398542657625,24.611863171743753,4.22735351291308,4.404970841432935,False,True,False,False,False,False,Go Mini
17,28.0,83.0,24.8,0.0,0.0,10.0,0,1,7.1,10.9,517.0,4.17,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
20,20.9,36.0,5.2,0.0,0.0,7.2,0,1,10.4,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
15,35.6,23.0,11.6,0.0,0.0,7.6,0,0,11.1,27.7,676.0,36.84,4.2,4.8,False,True,False,False,False,False,Go Mini
18,21.8,75.0,17.1,0.0,0.0,6.9,0,0,3.0,21.2,1519.0,41.03,4.6,4.6,False,False,True,False,False,False,Go Sedan
14,15.8,48.0,4.9,0.0,0.0,11.9,0,1,9.9,29.173641331849,508.02398542657625,24.611863171743753,4.22735351291308,4.404970841432935,False,True,False,False,False,False,Go Mini
19,29.2,52.0,18.4,0.0,0.0,11.9,0,0,11.4,19.2,87.0,8.1,4.2,4.3,False,False,False,True,False,False,Premier Sedan
14,18.4,55.0,9.2,0.0,0.0,13.9,0,1,6.2,25.7,174.0,3.64,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
6,28.5,84.0,25.5,0.1,0.0,17.6,0,1,5.5,16.1,306.0,7.4,4.22735351291308,4.404970841432935,False,True,False,False,False,False,Go Mini
3,14.4,90.0,12.8,0.5,0.0,16.9,0,0,14.2,39.2,262.0,6.29,4.7,3.7,False,False,True,False,False,False,Go Sedan
22,10.5,88.0,8.6,0.0,0.0,5.8,0,0,11.4,28.0,885.0,20.89,4.1,3.1,False,False,False,False,False,False,Auto
17,6.6,98.0,6.3,0.0,0.0,8.4,0,1,10.8,29.210539523212045,509.4071936428273,24.646159765788376,4.234065732857275,4.404009887393572,False,False,False,True,False,False,Premier Sedan
22,22.4,100.0,22.4,0.0,0.0,4.6,0,1,9.4,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
20,7.2,99.0,7.1,0.0,0.0,6.1,0,1,3.1,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
20,14.7,64.0,7.9,0.0,0.0,9.8,1,1,8.446660167213212,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
9,35.1,60.0,26.1,0.0,0.0,14.8,0,1,11.5,29.02648484165446,510.87715541530486,24.56676434126,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
5,17.2,79.0,13.4,0.0,0.0,10.4,0,1,11.1,29.173641331849,508.02398542657625,24.611863171743753,4.22735351291308,4.404970841432935,False,True,False,False,False,False,Go Mini
5,36.7,16.0,7.1,0.0,0.0,7.2,0,1,9.2,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
16,30.3,77.0,25.9,0.0,0.0,12.1,1,1,8.443825503355704,29.210539523212045,509.4071936428273,24.646159765788376,4.234065732857275,4.404009887393572,False,False,False,True,False,False,Premier Sedan
12,28.4,60.0,19.8,0.0,0.0,6.7,0,0,11.6,16.8,416.0,27.46,5.0,4.1,False,False,False,False,False,False,Auto
19,29.2,25.0,7.2,0.0,0.0,7.6,0,1,6.6,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
9,33.1,58.0,23.7,0.1,0.0,9.6,0,1,5.7,29.02648484165446,510.87715541530486,24.56676434126,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
19,25.4,82.0,22.2,0.0,0.0,4.3,0,0,14.9,26.3,355.0,36.2,4.2,4.8,False,False,False,False,True,False,Uber XL
21,24.1,94.0,23.1,0.0,0.0,5.0,0,0,9.2,30.4,3878.0,16.03,4.1,4.7,True,False,False,False,False,False,Bike
21,27.5,95.0,26.6,0.0,0.0,5.4,0,0,2.8,43.1,213.0,3.81,4.2,4.9,False,False,False,False,False,False,Auto
20,30.9,66.0,23.9,0.0,0.0,9.5,0,0,4.1,41.8,603.0,18.14,4.4,4.9,False,True,False,False,False,False,Go Mini
4,32.9,58.0,23.5,0.0,0.0,4.0,0,0,8.2,29.5,1532.0,15.85,3.5,5.0,False,False,True,False,False,False,Go Sedan
19,11.9,97.0,11.5,0.0,0.0,6.8,0,0,15.0,33.6,139.0,16.1,4.4,4.9,False,False,False,True,False,False,Premier Sedan
7,33.0,69.0,26.6,0.0,0.0,2.4,0,0,9.4,31.1,52.0,16.86,4.2,4.2,False,False,True,False,False,False,Go Sedan
8,30.2,74.0,25.1,0.0,0.0,5.8,0,1,15.3,29.173641331849,508.02398542657625,24.611863171743753,4.22735351291308,4.404970841432935,False,True,False,False,False,False,Go Mini
15,21.5,51.0,10.9,0.0,0.0,7.8,0,1,6.7,29.02648484165446,510.87715541530486,24.56676434126,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
3,16.0,87.0,13.9,0.0,0.0,5.2,0,1,3.0,29.02648484165446,510.87715541530486,24.56676434126,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
14,29.8,23.0,6.6,0.0,0.0,8.6,0,0,5.2,38.1,221.0,42.7,3.1,4.9,False,True,False,False,False,False,Go Mini
16,26.4,82.0,23.0,0.0,0.0,6.1,0,1,8.1,29.02648484165446,510.87715541530486,24.56676434126,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
19,17.3,50.0,6.8,0.0,0.0,13.7,0,0,4.3,16.1,315.0,39.21,4.4,3.6,False,True,False,False,False,False,Go Mini
16,29.1,80.0,25.2,0.0,0.0,6.5,1,1,8.400261598201512,29.02648484165446,510.87715541530486,24.56676434126,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
22,26.4,91.0,24.9,0.1,0.0,6.6,0,1,2.4,10.2,675.0,4.88,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
8,14.7,73.0,9.8,0.0,0.0,11.5,0,1,11.5,29.210539523212045,509.4071936428273,24.646159765788376,4.234065732857275,4.404009887393572,False,False,False,True,False,False,Premier Sedan
8,32.3,69.0,25.8,0.1,0.0,9.2,0,1,5.1,29.02648484165446,510.87715541530486,24.56676434126,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
16,23.6,63.0,16.1,0.0,0.0,6.9,0,1,3.4,29.173641331849,508.02398542657625,24.611863171743753,4.22735351291308,4.404970841432935,False,True,False,False,False,False,Go Mini
18,24.7,96.0,24.0,0.0,0.0,6.1,0,0,5.8,39.2,267.0,17.53,4.8,4.9,False,False,False,True,False,False,Premier Sedan
18,24.1,37.0,8.6,0.0,0.0,5.8,0,0,2.5,39.8,519.0,13.13,4.6,4.7,False,False,False,True,False,False,Premier Sedan
19,26.5,97.0,25.9,0.0,0.0,5.4,0,0,6.1,22.6,733.0,20.84,4.6,4.3,True,False,False,False,False,False,Bike
5,29.6,45.0,16.5,0.0,0.0,2.3,0,0,5.0,38.9,659.0,23.3,4.9,4.6,False,False,True,False,False,False,Go Sedan
9,31.8,73.0,26.2,0.1,0.0,6.0,0,0,14.8,15.6,617.0,39.51,4.7,3.2,False,False,False,False,False,False,Auto
22,21.9,81.0,18.5,0.0,0.0,6.1,0,0,5.6,20.4,759.0,37.32,4.2,4.9,False,True,False,False,False,False,Go Mini
20,12.5,87.0,10.4,0.0,0.0,5.6,1,1,8.506528015659407,29.201697075395764,510.3922726053126,24.640380332707274,4.229652996845426,4.404225662093757,True,False,False,False,False,False,Bike
0,31.4,51.0,20.0,0.0,0.0,7.2,0,0,3.3,16.8,595.0,26.86,4.3,4.9,False,False,False,False,False,False,Auto
4,28.3,90.0,26.5,3.3,0.0,12.5,0,0,13.8,24.3,859.0,4.85,4.9,3.7,False,False,False,False,False,False,Auto
11,24.4,32.0,6.7,0.0,0.0,16.2,0,1,5.5,29.02648484165446,510.87715541530486,24.56676434126,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
17,18.3,82.0,15.1,0.0,0.0,19.1,0,1,7.1,17.2,623.0,3.14,4.22735351291308,4.404970841432935,False,True,False,False,False,False,Go Mini
21,32.4,46.0,19.5,0.0,0.0,11.3,0,0,9.1,30.5,1149.0,10.46,4.2,4.5,False,False,False,False,True,False,Uber XL
18,14.0,43.0,1.4,0.0,0.0,10.7,0,0,2.6,25.3,147.0,21.99,4.9,4.5,False,False,False,True,False,False,Premier Sedan
12,21.0,49.0,9.7,0.0,0.0,10.1,0,0,11.3,35.8,200.0,40.71,4.6,4.2,False,False,True,False,False,False,Go Sedan
20,28.2,40.0,13.5,0.0,0.0,8.7,1,1,8.400261598201512,29.02648484165446,510.87715541530486,24.56676434126,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
12,30.1,70.0,24.0,0.0,0.0,6.8,0,0,13.8,20.3,951.0,7.9,3.9,4.2,False,False,False,False,False,False,Auto
12,17.6,51.0,7.5,0.0,0.0,7.1,0,0,9.2,25.8,947.0,31.96,4.3,4.6,False,True,False,False,False,False,Go Mini
6,31.9,70.0,25.7,0.0,0.0,17.1,0,1,8.1,29.0,76.0,18.92,4.229652996845426,4.404225662093757,True,False,False,False,False,False,Bike
0,22.2,93.0,21.1,0.1,0.0,8.8,0,0,7.6,36.2,211.0,29.23,4.6,4.5,False,True,False,False,False,False,Go Mini
22,24.3,97.0,23.8,0.0,0.0,4.1,0,0,12.2,34.1,377.0,36.04,4.3,4.8,False,False,False,False,False,False,Auto
5,26.1,76.0,21.5,0.2,0.0,19.4,0,0,8.7,25.0,702.0,46.33,3.9,4.8,False,False,True,False,False,False,Go Sedan
13,3.7,85.0,1.4,2.4,1.68,4.1,0,1,8.0,19.1,645.0,12.13,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
19,17.5,69.0,11.8,0.0,0.0,4.2,0,0,14.8,23.2,536.0,32.74,4.5,4.1,False,True,False,False,False,False,Go Mini
22,26.9,36.0,10.6,0.0,0.0,9.1,0,0,2.8,20.3,424.0,43.37,4.3,4.5,False,True,False,False,False,False,Go Mini
21,21.5,32.0,4.0,0.0,0.0,10.5,0,1,6.3,27.2,1209.0,9.84,4.229652996845426,4.404225662093757,True,False,False,False,False,False,Bike
15,23.9,92.0,22.4,2.6,0.0,15.2,1,1,8.446660167213212,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
7,36.2,43.0,21.6,0.0,0.0,21.3,0,0,11.8,21.8,173.0,24.8,4.2,4.3,False,False,False,False,False,False,Auto
18,23.5,86.0,21.0,0.0,0.0,6.5,0,0,10.4,34.8,485.0,26.6,3.9,4.6,False,False,False,False,False,True,eBike
9,15.8,87.0,13.7,5.8,0.0,9.7,0,1,3.8,10.6,137.0,7.45,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
2,16.5,79.0,12.8,0.0,0.0,17.2,0,1,4.7,11.3,334.0,18.46,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
15,27.2,26.0,5.8,0.0,0.0,13.5,0,0,4.8,35.0,642.0,24.18,3.8,4.7,False,False,False,False,False,False,Auto
11,39.7,34.0,20.9,0.0,0.0,6.5,0,1,7.7,29.02648484165446,510.87715541530486,24.56676434126,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
15,34.4,56.0,24.5,0.0,0.0,13.9,0,1,11.9,29.173641331849,508.02398542657625,24.611863171743753,4.22735351291308,4.404970841432935,False,True,False,False,False,False,Go Mini
5,30.7,70.0,24.6,0.0,0.0,3.4,0,0,13.0,19.6,3010.0,7.11,4.0,3.7,False,False,False,False,False,True,eBike
22,18.2,48.0,7.1,0.0,0.0,7.7,1,1,8.446660167213212,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
23,11.0,91.0,9.6,0.0,0.0,4.7,0,1,17.2,29.210539523212045,509.4071936428273,24.646159765788376,4.234065732857275,4.404009887393572,False,False,False,True,False,False,Premier Sedan
11,30.2,50.0,18.7,0.0,0.0,7.2,0,0,2.6,33.6,69.0,44.15,4.9,4.9,False,True,False,False,False,False,Go Mini
17,23.3,39.0,8.4,0.0,0.0,12.2,0,0,4.7,42.6,792.0,10.52,4.4,5.0,False,False,False,True,False,False,Premier Sedan
7,24.7,37.0,9.2,0.0,0.0,12.0,0,1,4.8,12.2,498.0,3.39,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
9,27.4,39.0,12.3,0.0,0.0,9.4,1,1,8.400261598201512,29.02648484165446,510.87715541530486,24.56676434126,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
8,24.6,32.0,6.8,0.0,0.0,8.2,0,0,11.9,32.3,182.0,17.11,4.2,4.3,False,True,False,False,False,False,Go Mini
11,25.5,44.0,12.4,0.0,0.0,13.8,0,1,6.9,29.173641331849,508.02398542657625,24.611863171743753,4.22735351291308,4.404970841432935,False,True,False,False,False,False,Go Mini
10,31.5,68.0,24.9,0.0,0.0,8.0,0,1,4.3,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
17,28.5,24.0,5.7,0.0,0.0,6.2,0,1,10.6,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
12,25.5,40.0,11.1,0.0,0.0,6.9,0,0,14.5,38.0,61.0,33.39,4.3,4.3,False,False,False,False,False,False,Auto
22,25.6,97.0,25.1,0.0,0.0,4.1,0,0,3.5,36.5,788.0,10.11,4.9,4.7,True,False,False,False,False,False,Bike
12,29.8,63.0,22.0,0.0,0.0,15.8,0,0,11.6,39.4,350.0,42.64,4.9,4.7,False,False,True,False,False,False,Go Sedan
8,25.6,30.0,6.7,0.0,0.0,12.3,0,1,5.5,29.173641331849,508.02398542657625,24.611863171743753,4.22735351291308,4.404970841432935,False,True,False,False,False,False,Go Mini
23,15.9,81.0,12.6,0.0,0.0,6.4,0,0,10.8,42.0,82.0,47.03,4.4,4.6,False,False,False,False,False,False,Auto
18,12.6,66.0,6.5,0.0,0.0,4.0,0,1,10.2,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
11,31.0,72.0,25.3,0.2,0.0,13.4,0,0,14.2,44.7,97.0,9.42,4.5,4.6,False,False,True,False,False,False,Go Sedan
10,23.9,43.0,10.5,0.0,0.0,8.9,0,0,5.1,32.5,989.0,22.24,4.7,4.7,False,False,False,True,False,False,Premier Sedan
5,28.7,79.0,24.6,0.0,0.0,12.5,0,0,12.8,19.9,1898.0,30.11,4.1,4.6,False,False,True,False,False,False,Go Sedan
9,19.8,46.0,7.9,0.0,0.0,3.1,0,1,7.0,29.173641331849,508.02398542657625,24.611863171743753,4.22735351291308,4.404970841432935,False,True,False,False,False,False,Go Mini
20,14.9,87.0,12.8,0.0,0.0,4.8,0,0,5.2,43.4,61.0,48.96,4.2,4.1,False,False,False,False,False,True,eBike
17,26.0,85.0,23.2,0.0,0.0,7.4,0,0,13.7,35.4,449.0,13.78,4.2,3.0,False,False,True,False,False,False,Go Sedan
23,25.7,91.0,24.2,0.0,0.0,5.4,0,1,6.4,29.02648484165446,510.87715541530486,24.56676434126,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
17,27.0,84.0,24.1,0.0,0.0,9.1,0,0,10.1,27.9,125.0,41.59,4.8,4.3,False,True,False,False,False,False,Go Mini
17,7.7,92.0,6.5,0.0,0.0,9.7,1,1,8.400261598201512,29.02648484165446,510.87715541530486,24.56676434126,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
22,19.7,84.0,16.9,0.0,0.0,5.2,0,0,14.0,28.0,408.0,38.48,4.9,4.7,False,True,False,False,False,False,Go Mini
16,23.4,38.0,8.2,0.0,0.0,8.6,0,0,7.8,23.3,1188.0,16.98,4.9,4.6,False,False,False,True,False,False,Premier Sedan
15,8.8,93.0,7.7,0.0,0.0,10.6,0,1,12.6,29.14832349978414,503.25600805871346,24.991942725572027,4.2249407676512405,4.4044700679197595,False,False,False,False,False,True,eBike
16,34.7,37.0,17.8,0.0,0.0,16.2,0,1,15.5,29.201697075395764,510.3922726053126,24.640380332707274,4.229652996845426,4.404225662093757,True,False,False,False,False,False,Bike
8,31.8,72.0,26.1,0.1,0.0,1.8,0,0,11.0,29.3,876.0,8.12,3.6,4.3,False,False,False,False,False,True,eBike
3,25.6,83.0,22.5,0.0,0.0,8.7,0,0,12.1,30.1,234.0,16.67,4.3,4.6,False,False,False,False,False,True,eBike
15,31.2,70.0,25.2,0.0,0.0,6.2,0,0,14.3,28.5,531.0,15.87,4.8,4.2,False,False,True,False,False,False,Go Sedan
19,27.5,86.0,25.0,0.0,0.0,10.7,0,1,9.7,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
8,35.8,31.0,16.2,0.0,0.0,6.8,0,0,9.6,43.1,438.0,9.88,5.0,4.9,False,False,False,False,False,False,Auto
19,10.7,87.0,8.6,0.0,0.0,8.7,0,0,12.7,45.0,583.0,39.6,4.6,4.9,False,True,False,False,False,False,Go Mini
19,20.8,50.0,10.0,0.0,0.0,12.2,0,0,4.8,43.2,126.0,17.43,3.9,4.3,False,False,False,True,False,False,Premier Sedan
16,27.2,95.0,26.3,0.8,0.0,7.2,0,1,5.9,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
5,27.1,93.0,25.9,9.2,0.0,8.7,0,0,10.2,29.8,587.0,25.1,4.6,4.9,False,True,False,False,False,False,Go Mini
8,31.4,74.0,26.3,2.7,0.0,8.9,0,0,12.0,31.3,113.0,30.03,4.5,4.9,False,False,False,False,False,False,Auto
13,18.0,34.0,1.7,0.0,0.0,7.2,0,0,13.1,16.3,889.0,20.8,4.4,4.5,True,False,False,False,False,False,Bike
20,23.5,41.0,9.6,0.0,0.0,9.0,0,0,5.3,42.6,537.0,31.58,5.0,4.6,False,False,True,False,False,False,Go Sedan
18,21.9,72.0,16.6,0.0,0.0,5.5,1,1,8.506528015659407,29.201697075395764,510.3922726053126,24.640380332707274,4.229652996845426,4.404225662093757,True,False,False,False,False,False,Bike
10,39.2,25.0,15.4,0.0,0.0,10.3,0,0,2.4,41.8,375.0,6.79,4.3,4.7,True,False,False,False,False,False,Bike
18,22.8,76.0,18.3,0.0,0.0,18.9,0,0,14.7,34.6,249.0,47.87,4.6,4.6,False,True,False,False,False,False,Go Mini
13,25.3,34.0,8.3,0.0,0.0,13.0,0,0,8.0,34.8,666.0,25.48,4.5,4.3,False,False,False,True,False,False,Premier Sedan
22,26.0,97.0,25.5,0.0,0.0,4.1,0,0,13.3,36.6,418.0,46.52,4.4,4.7,False,False,False,False,False,True,eBike
10,44.3,17.0,13.6,0.0,0.0,22.5,0,0,2.4,17.8,103.0,7.45,4.8,4.5,False,True,False,False,False,False,Go Mini
15,29.5,22.0,5.6,0.0,0.0,9.8,0,0,10.4,33.0,93.0,10.17,3.1,4.8,False,False,False,False,False,True,eBike
6,31.9,37.0,15.5,0.0,0.0,9.7,1,1,8.443825503355704,29.210539523212045,509.4071936428273,24.646159765788376,4.234065732857275,4.404009887393572,False,False,False,True,False,False,Premier Sedan
18,30.0,86.0,27.4,0.0,0.0,2.6,0,0,2.5,15.9,1356.0,46.63,4.2,5.0,False,False,False,False,False,False,Auto
17,26.2,64.0,18.8,0.0,0.0,15.2,0,0,9.6,36.5,576.0,27.94,4.5,4.9,True,False,False,False,False,False,Bike
12,15.7,72.0,10.6,0.0,0.0,7.1,0,0,7.7,22.2,348.0,13.76,3.9,3.2,False,False,False,True,False,False,Premier Sedan
22,0.3,94.0,-0.6,0.0,0.0,4.4,0,0,10.0,27.5,722.0,33.59,3.7,5.0,False,False,False,False,False,False,Auto
22,13.3,93.0,12.1,0.0,0.0,5.4,0,0,7.3,39.6,452.0,29.53,3.4,4.4,False,False,True,False,False,False,Go Sedan
19,15.7,62.0,8.4,0.0,0.0,15.6,0,0,8.1,44.6,135.0,40.37,4.2,4.7,False,False,False,False,False,False,Auto
