cluster,silhouette,Booking ID,Customer ID
1,0.34146413,"""CNR2513330""","""CID7805280"""
3,0.18282562,"""CNR9252424""","""CID9413620"""
1,0.5341609,"""CNR3096031""","""CID3101926"""
3,0.33773422,"""CNR4141159""","""CID6810411"""
2,0.45041552,"""CNR6757829""","""CID8433663"""
2,0.3607437,"""CNR6204326""","""CID9419495"""
1,0.43674704,"""CNR3347993""","""CID4871438"""
1,0.34765247,"""CNR6796311""","""CID1880505"""
2,0.12976523,"""CNR3908312""","""CID8787746"""
1,0.52818316,"""CNR9416323""","""CID1025742"""
3,0.46139297,"""CNR2912296""","""CID8094609"""
3,0.39656794,"""CNR4611314""","""CID6968311"""
0,0.36320505,"""CNR2601752""","""CID9283370"""
1,0.51481515,"""CNR5793527""","""CID5705499"""
4,0.09201804,"""CNR4487090""","""CID1210782"""
1,0.48272175,"""CNR5266935""","""CID2831708"""
2,0.44344974,"""CNR1487489""","""CID3403699"""
3,0.51716304,"""CNR6351034""","""CID2038230"""
4,0.15050624,"""CNR7600870""","""CID7289498"""
3,0.45533693,"""CNR5444321""","""CID3326946"""
2,0.28242242,"""CNR8509610""","""CID8227993"""
3,0.53127426,"""CNR6851549""","""CID9560489"""
4,0.48361313,"""CNR3318044""","""CID4051792"""
2,0.22914506,"""CNR6453539""","""CID6999817"""
1,0.4898104,"""CNR7449144""","""CID8609350"""
3,0.16828418,"""CNR1970319""","""CID6085619"""
3,0.46677166,"""CNR4415815""","""CID8351180"""
1,0.11625925,"""CNR3899082""","""CID5467225"""
4,0.51593626,"""CNR3274519""","""CID3829804"""
4,0.464494,"""CNR3263958""","""CID3231090"""
0,0.044740785,"""CNR5822542""","""CID1628370"""
4,0.18824175,"""CNR9652983""","""CID4773175"""
4,0.5454699,"""CNR2598306""","""CID5704025"""
1,0.3852347,"""CNR3274827""","""CID3134967"""
4,0.31156644,"""CNR9139265""","""CID4003339"""
0,0.5181938,"""CNR8036415""","""CID9244184"""
2,0.20577367,"""CNR8433849""","""CID7659765"""
3,0.506618,"""CNR2948784""","""CID7747807"""
0,0.09988368,"""CNR1996806""","""CID2293483"""
4,0.48536453,"""CNR6241612""","""CID5715130"""
4,0.53097963,"""CNR5222120""","""CID2370613"""
3,0.5479874,"""CNR6596872""","""CID2589193"""
3,0.5421609,"""CNR7149058""","""CID7341591"""
3,0.52630234,"""CNR5726463""","""CID3407189"""
2,0.3561257,"""CNR3975551""","""CID2944423"""
0,0.5348289,"""CNR8637930""","""CID8137475"""
2,0.4548421,"""CNR9935095""","""CID7359331"""
4,0.44445357,"""CNR8893726""","""CID8335294"""
2,0.12760827,"""CNR3975051""","""CID5797043"""
1,0.49918357,"""CNR1984811""","""CID6701334"""
1,0.5338166,"""CNR7036055""","""CID7359512"""
0,0.5651736,"""CNR3449107""","""CID8684841"""
3,0.008073994,"""CNR6919653""","""CID5736754"""
0,0.09373389,"""CNR8504461""","""CID3984123"""
3,0.132281,"""CNR3712671""","""CID5160108"""
3,0.54900455,"""CNR8819329""","""CID6695773"""
2,0.52772224,"""CNR3734278""","""CID6462328"""
2,0.29542598,"""CNR2472864""","""CID7156852"""
3,0.34453824,"""CNR3239651""","""CID9573465"""
4,0.18295154,"""CNR2646387""","""CID8652330"""
0,0.14735468,"""CNR4724814""","""CID1251463"""
3,0.074133515,"""CNR2200152""","""CID6635464"""
0,0.5471716,"""CNR5060137""","""CID2961093"""
0,0.39449373,"""CNR9291876""","""CID9026677"""
1,0.5466103,"""CNR4212658""","""CID5774800"""
1,0.33327296,"""CNR7677229""","""CID8986725"""
3,0.18774548,"""CNR4092218""","""CID5726360"""
2,0.4447934,"""CNR8034979""","""CID1915443"""
3,0.023993492,"""CNR7228014""","""CID3515824"""
0,0.5644852,"""CNR1435581""","""CID1856576"""
2,0.2401474,"""CNR5373942""","""CID7792143"""
0,0.5703209,"""CNR3434703""","""CID3333217"""
0,0.5387975,"""CNR6987620""","""CID3121337"""
1,0.55150044,"""CNR4132145""","""CID5140786"""
1,0.055943634,"""CNR8207805""","""CID6685791"""
4,0.47098053,"""CNR1438443""","""CID5468663"""
3,0.5547014,"""CNR6129081""","""CID2998238"""
0,0.53365916,"""CNR1361929""","""CID9052724"""
2,0.4158984,"""CNR2687237""","""CID4887972"""
2,0.54603523,"""CNR7486337""","""CID8581638"""
2,0.3293223,"""CNR4269906""","""CID9683944"""
3,0.092707165,"""CNR1224347""","""CID5493342"""
4,0.5473284,"""CNR1401386""","""CID2154950"""
1,0.5036539,"""CNR2013487""","""CID4175153"""
2,0.1949464,"""CNR7409512""","""CID5474366"""
1,0.526793,"""CNR7658099""","""CID8951576"""
0,0.50544417,"""CNR1980045""","""CID9418411"""
2,0.53668416,"""CNR8584951""","""CID2820460"""
1,0.040349554,"""CNR2607733""","""CID5637874"""
2,0.30628797,"""CNR6693847""","""CID6386344"""
3,0.35976407,"""CNR9749627""","""CID3065827"""
0,0.48200297,"""CNR1706908""","""CID1807270"""
3,0.54215974,"""CNR6236514""","""CID3761463"""
2,0.2927754,"""CNR9048385""","""CID5242973"""
3,0.04453105,"""CNR1903168""","""CID1051794"""
1,0.41000256,"""CNR2922907""","""CID4507250"""
2,0.36722124,"""CNR7621341""","""CID1429306"""
4,0.571268,"""CNR5803828""","""CID1039074"""
4,0.4256278,"""CNR4868713""","""CID2089650"""
4,0.516484,"""CNR2575334""","""CID7330180"""
1,0.49122322,"""CNR3841045""","""CID1210899"""
2,0.1084748,"""CNR5265040""","""CID3076700"""
3,0.44413263,"""CNR8112878""","""CID4809063"""
0,0.56380916,"""CNR4617937""","""CID7348314"""
3,0.38459456,"""CNR7311169""","""CID2529885"""
4,0.4908706,"""CNR7340396""","""CID7334750"""
4,0.1731097,"""CNR4259279""","""CID7993999"""
4,0.4924343,"""CNR7554746""","""CID3234126"""
1,0.54857945,"""CNR9430550""","""CID3901448"""
3,0.41258645,"""CNR9984761""","""CID1201304"""
1,0.52780265,"""CNR4112922""","""CID8248967"""
1,0.09154253,"""CNR5939223""","""CID1109267"""
1,0.2804075,"""CNR7645307""","""CID6238168"""
4,0.45947784,"""CNR4722464""","""CID7557487"""
4,0.5577292,"""CNR3191144""","""CID5636263"""
3,0.26865897,"""CNR4720063""","""CID1461597"""
0,0.54253733,"""CNR6216825""","""CID3685295"""
0,0.5144675,"""CNR5314934""","""CID1026547"""
3,0.0696284,"""CNR5517193""","""CID9143442"""
0,-0.0044575683,"""CNR8412946""","""CID7723858"""
0,0.47193268,"""CNR1867567""","""CID6010303"""
3,0.28325677,"""CNR3455701""","""CID9643714"""
4,0.4617879,"""CNR5149854""","""CID9975388"""
0,0.539537,"""CNR6027511""","""CID6080643"""
0,0.3107456,"""CNR4569804""","""CID8474448"""
1,0.28440315,"""CNR7585582""","""CID1607386"""
4,0.17270428,"""CNR5534901""","""CID9231793"""
2,0.2565839,"""CNR5784218""","""CID1814194"""
1,0.11262723,"""CNR6349771""","""CID5577961"""
1,0.16042838,"""CNR3708287""","""CID2958217"""
2,0.5957644,"""CNR8365625""","""CID4463605"""
3,0.07210496,"""CNR7435840""","""CID9084957"""
0,0.48765096,"""CNR8577529""","""CID8121948"""
0,0.08764169,"""CNR6158921""","""CID4203688"""
3,0.041666564,"""CNR7484371""","""CID7265108"""
4,0.43263564,"""CNR9301716""","""CID4647277"""
0,0.266199,"""CNR1801249""","""CID2012161"""
3,0.4001867,"""CNR5712520""","""CID8152575"""
1,0.34922856,"""CNR1038498""","""CID6242930"""
3,0.49700055,"""CNR2395349""","""CID3389825"""
1,0.23324549,"""CNR4896767""","""CID6418422"""
1,0.51418525,"""CNR5047025""","""CID6365387"""
4,0.5234211,"""CNR7514462""","""CID5973257"""
4,0.47065622,"""CNR5269641""","""CID8225890"""
0,0.4097026,"""CNR9927786""","""CID8378909"""
1,0.2384714,"""CNR9619867""","""CID9032039"""
0,0.5151875,"""CNR7250271""","""CID9448818"""
1,0.5363915,"""CNR5629774""","""CID8747096"""
2,0.39074802,"""CNR4578797""","""CID1104786"""
0,-0.011568237,"""CNR5277125""","""CID7166980"""
0,0.27832368,"""CNR2343017""","""CID9190683"""
1,0.51101416,"""CNR4356773""","""CID9031824"""
1,0.52291745,"""CNR1050716""","""CID3789359"""
1,0.15810505,"""CNR7850961""","""CID5103518"""
1,0.46058458,"""CNR1254363""","""CID9092173"""
2,0.16684206,"""CNR6569789""","""CID3372949"""
1,0.5414902,"""CNR6092310""","""CID4998701"""
4,0.441341,"""CNR2742692""","""CID6825812"""
0,0.46426702,"""CNR7165550""","""CID7694379"""
3,0.29138607,"""CNR9101826""","""CID1875498"""
0,0.4548663,"""CNR7054338""","""CID5302286"""
4,0.5259354,"""CNR5871454""","""CID8316899"""
4,0.43484545,"""CNR4399523""","""CID2089022"""
4,0.46336365,"""CNR9707820""","""CID2183387"""
3,0.47273457,"""CNR2693001""","""CID1889689"""
4,0.49771687,"""CNR3363167""","""CID8741995"""
3,0.035641126,"""CNR9573367""","""CID7080252"""
1,0.3024079,"""CNR4563554""","""CID3656786"""
2,0.3251849,"""CNR3121090""","""CID1670641"""
4,0.566816,"""CNR2969701""","""CID1401223"""
4,0.55882347,"""CNR3590282""","""CID7281467"""
4,0.34412485,"""CNR5792733""","""CID2894784"""
4,-0.04334574,"""CNR7417036""","""CID8283589"""
3,0.56222093,"""CNR7957879""","""CID3277993"""
3,0.15568097,"""CNR3649243""","""CID2049171"""
0,0.29743958,"""CNR8918353""","""CID4955715"""
3,0.32413688,"""CNR1343265""","""CID2749175"""
4,0.2566636,"""CNR1390232""","""CID6307524"""
4,0.52805644,"""CNR3047231""","""CID5464558"""
0,0.5088408,"""CNR5380412""","""CID8125937"""
4,0.30297172,"""CNR4886117""","""CID2026490"""
2,0.35208645,"""CNR1155206""","""CID3865002"""
1,0.37548319,"""CNR7623737""","""CID6954811"""
3,0.27157897,"""CNR5468556""","""CID4533250"""
3,0.29447806,"""CNR8037805""","""CID2099192"""
1,0.54299474,"""CNR5137585""","""CID3906781"""
3,-0.010868731,"""CNR5622847""","""CID7679264"""
2,0.33694556,"""CNR4461457""","""CID8192836"""
0,0.18997456,"""CNR3788830""","""CID1892630"""
4,0.48861164,"""CNR8254837""","""CID5350125"""
3,0.43328384,"""CNR5483670""","""CID3570152"""
0,0.5687228,"""CNR7372127""","""CID2108992"""
2,0.4284744,"""CNR5166870""","""CID9712348"""
3,0.4271625,"""CNR1915557""","""CID8572565"""
0,0.43830085,"""CNR3460247""","""CID7449191"""
1,0.19758771,"""CNR8192412""","""CID3617414"""
3,0.079315655,"""CNR7439127""","""CID2424398"""
2,0.45802093,"""CNR3712135""","""CID7174383"""
3,0.4143835,"""CNR1675599""","""CID9232923"""
4,0.38043723,"""CNR1935772""","""CID2909332"""
2,0.37296394,"""CNR4730676""","""CID5429248"""
2,0.39507955,"""CNR6139544""","""CID9812979"""
1,-0.04617265,"""CNR3805926""","""CID1837528"""
1,0.40505177,"""CNR5129655""","""CID6449078"""
4,0.05826573,"""CNR8725828""","""CID5970413"""
1,0.26260322,"""CNR6557966""","""CID9646686"""
1,0.13515322,"""CNR5403690""","""CID2856626"""
2,0.1964554,"""CNR4969264""","""CID8159457"""
4,0.21721748,"""CNR6028710""","""CID1715075"""
4,0.033920974,"""CNR3761377""","""CID2461173"""
0,0.5555322,"""CNR2650074""","""CID5603156"""
2,0.18130451,"""CNR7381283""","""CID8868738"""
2,0.31705743,"""CNR2531495""","""CID7656183"""
3,0.042710967,"""CNR1939605""","""CID1229469"""
3,0.4309051,"""CNR5149041""","""CID6951861"""
1,0.4697553,"""CNR7041241""","""CID1368334"""
1,0.5573745,"""CNR8035160""","""CID5283020"""
3,0.30354372,"""CNR1918341""","""CID7417050"""
0,0.3766935,"""CNR9600846""","""CID8949589"""
2,0.12566674,"""CNR2775291""","""CID9116623"""
3,0.5293159,"""CNR4263854""","""CID3967495"""
4,0.5010196,"""CNR4635401""","""CID3741723"""
3,0.43426937,"""CNR2135475""","""CID8123696"""
1,0.5551933,"""CNR2438435""","""CID7928240"""
4,0.14331785,"""CNR2068345""","""CID1975343"""
0,0.5202163,"""CNR6107939""","""CID3244272"""
3,-0.053451978,"""CNR6577172""","""CID5963264"""
3,-0.040812127,"""CNR1957129""","""CID5761924"""
1,0.27363905,"""CNR1531092""","""CID7911273"""
3,0.5464601,"""CNR6891932""","""CID1466189"""
4,0.5449507,"""CNR2192659""","""CID5227340"""
2,0.45737422,"""CNR6262174""","""CID4943288"""
1,-0.05684887,"""CNR7791863""","""CID1873624"""
4,0.4680161,"""CNR8243301""","""CID7666967"""
3,0.35450715,"""CNR9897424""","""CID8433669"""
1,0.5729174,"""CNR5745004""","""CID8137475"""
4,0.2848666,"""CNR9659819""","""CID5653812"""
2,0.11102539,"""CNR6574173""","""CID6454968"""
2,0.1766912,"""CNR4467044""","""CID9935423"""
4,0.20005462,"""CNR3334608""","""CID2336782"""
3,0.057313863,"""CNR3901250""","""CID4369282"""
3,0.42064688,"""CNR3899180""","""CID3915373"""
0,0.57184243,"""CNR7686844""","""CID4485200"""
0,0.5626978,"""CNR7619619""","""CID9964707"""
2,0.38529113,"""CNR3128056""","""CID1669827"""
1,0.033245668,"""CNR2415257""","""CID6909825"""
1,0.046336267,"""CNR9756448""","""CID6952097"""
3,0.42161554,"""CNR5071968""","""CID7384045"""
0,0.38774544,"""CNR9262105""","""CID3597216"""
4,0.5266867,"""CNR6026973""","""CID7000290"""
0,0.5217501,"""CNR6798581""","""CID4412829"""
0,0.4657128,"""CNR1511311""","""CID3430917"""
0,0.4930402,"""CNR1690974""","""CID5614686"""
2,0.47993347,"""CNR2405566""","""CID2765782"""
2,0.45204818,"""CNR5503992""","""CID3215242"""
3,0.47404194,"""CNR5487256""","""CID2154074"""
1,0.3301679,"""CNR9280980""","""CID4697642"""
4,0.49341312,"""CNR5735365""","""CID4330019"""
1,0.4483709,"""CNR7094496""","""CID1193764"""
2,0.1394416,"""CNR8674052""","""CID9232244"""
1,0.4805493,"""CNR3317899""","""CID7292132"""
4,0.1452474,"""CNR7648257""","""CID6260946"""
1,0.26663154,"""CNR9887499""","""CID4896073"""
1,0.54911333,"""CNR5899408""","""CID6731666"""
4,0.059688367,"""CNR4090725""","""CID9333845"""
4,0.5436232,"""CNR7912140""","""CID2721563"""
4,0.4623001,"""CNR1149573""","""CID4850979"""
2,0.36431956,"""CNR9795191""","""CID7143989"""
1,0.56950873,"""CNR6845177""","""CID2910913"""
1,0.48645782,"""CNR6115510""","""CID8805139"""
3,0.34126222,"""CNR6859535""","""CID2960838"""
2,0.5771505,"""CNR2514823""","""CID8542583"""
1,0.050672103,"""CNR5197106""","""CID9447069"""
3,0.5586988,"""CNR5958707""","""CID9250719"""
3,0.39373067,"""CNR7438691""","""CID6640597"""
0,0.29672733,"""CNR4717203""","""CID4019303"""
4,0.5686391,"""CNR3871982""","""CID3385226"""
4,0.4898138,"""CNR7276252""","""CID4805819"""
0,0.41556078,"""CNR8591450""","""CID5485762"""
0,-0.032546073,"""CNR2118165""","""CID4254404"""
2,0.43592,"""CNR1580852""","""CID1032196"""
2,0.39965016,"""CNR8400555""","""CID7803210"""
2,0.35689718,"""CNR2392283""","""CID7179926"""
3,0.29917565,"""CNR8799283""","""CID2914515"""
2,0.5235119,"""CNR7692801""","""CID4418657"""
4,0.43309867,"""CNR8406654""","""CID3494610"""
1,0.532986,"""CNR5193961""","""CID3471193"""
1,0.34939224,"""CNR9045710""","""CID9382079"""
1,0.25451374,"""CNR1884447""","""CID3794502"""
2,0.15454775,"""CNR5929425""","""CID8229428"""
0,0.41532943,"""CNR3795914""","""CID2036541"""
0,0.23716941,"""CNR5115903""","""CID1437336"""
4,0.5489697,"""CNR7223335""","""CID9786042"""
1,0.5267529,"""CNR3338595""","""CID3627391"""
3,0.47747317,"""CNR1610053""","""CID5372274"""
1,0.35979006,"""CNR4383491""","""CID5404553"""
0,0.2982743,"""CNR4238002""","""CID6776646"""
0,-0.029193493,"""CNR2471315""","""CID1296895"""
3,0.15203375,"""CNR7554909""","""CID2941890"""
3,0.38478032,"""CNR4559667""","""CID2567945"""
1,0.48237494,"""CNR7943612""","""CID7051878"""
3,0.33544695,"""CNR9513281""","""CID8578287"""
0,0.14370003,"""CNR3228885""","""CID3480522"""
4,0.5607696,"""CNR6838313""","""CID6286831"""
4,0.45299968,"""CNR7513763""","""CID5819264"""
4,-0.05137196,"""CNR4249572""","""CID9658351"""
1,0.42241403,"""CNR1730323""","""CID1295813"""
2,0.23466662,"""CNR3316127""","""CID1501533"""
1,0.19014876,"""CNR5001450""","""CID4130652"""
0,-0.01049992,"""CNR2994632""","""CID4528348"""
3,0.5528564,"""CNR8349332""","""CID1895189"""
0,0.56460947,"""CNR6785391""","""CID3192351"""
4,0.5507436,"""CNR4239039""","""CID5633622"""
3,0.56499827,"""CNR3942728""","""CID3899231"""
3,0.32679543,"""CNR2282162""","""CID7242372"""
4,0.5359132,"""CNR4677505""","""CID3339585"""
1,0.49837792,"""CNR8185605""","""CID9816010"""
2,0.09462287,"""CNR5351433""","""CID4736469"""
1,0.06579893,"""CNR8880913""","""CID4302311"""
2,0.35120946,"""CNR3643495""","""CID3072962"""
3,0.55123675,"""CNR8399435""","""CID7010722"""
4,0.5230678,"""CNR5699093""","""CID6044294"""
1,0.5212699,"""CNR1090037""","""CID2369298"""
4,0.35682088,"""CNR1672620""","""CID9094427"""
0,0.48976618,"""CNR4811296""","""CID7470261"""
3,0.322435,"""CNR6421218""","""CID2328704"""
1,0.45727602,"""CNR7297536""","""CID3104231"""
3,0.17900538,"""CNR2290384""","""CID6067378"""
3,0.5117202,"""CNR2229358""","""CID7586583"""
3,0.10490781,"""CNR9882850""","""CID8976182"""
0,0.48270255,"""CNR3234899""","""CID1908216"""
0,0.5219712,"""CNR9159821""","""CID7212119"""
4,0.4662782,"""CNR3377580""","""CID3773482"""
0,0.5157099,"""CNR7286285""","""CID6567281"""
4,0.31168756,"""CNR8901989""","""CID4529927"""
4,0.52704597,"""CNR9222191""","""CID9902256"""
4,0.043416798,"""CNR6647107""","""CID7253416"""
0,0.03983645,"""CNR9775227""","""CID4405721"""
0,-0.00884703,"""CNR5436498""","""CID6124996"""
3,0.07573187,"""CNR9394835""","""CID3125278"""
2,0.38670084,"""CNR7811486""","""CID3203722"""
3,0.1656216,"""CNR9208205""","""CID2712013"""
1,0.48707426,"""CNR6583672""","""CID2281519"""
4,0.53134185,"""CNR5706641""","""CID5130718"""
1,0.42916,"""CNR8005201""","""CID8692503"""
0,0.39361867,"""CNR7534075""","""CID4275914"""
1,0.45479918,"""CNR1712916""","""CID9416242"""
3,0.10240603,"""CNR8081487""","""CID1030753"""
4,0.20080854,"""CNR4056850""","""CID5921257"""
1,0.5649126,"""CNR6714334""","""CID3077805"""
4,0.5484649,"""CNR7702733""","""CID7542922"""
4,0.3701492,"""CNR9212883""","""CID7774837"""
3,0.4168012,"""CNR9154108""","""CID7990974"""
1,0.406356,"""CNR6429307""","""CID6093452"""
3,0.5354974,"""CNR4933209""","""CID7088241"""
2,0.53179604,"""CNR2979424""","""CID8679276"""
2,0.5582929,"""CNR3332119""","""CID6481348"""
0,0.19365805,"""CNR8678279""","""CID1487975"""
0,0.50732064,"""CNR1559285""","""CID2693633"""
2,0.08418641,"""CNR7024730""","""CID4838658"""
3,0.041236583,"""CNR6839076""","""CID8166401"""
1,0.5630064,"""CNR7905117""","""CID1416555"""
1,0.012196305,"""CNR5759870""","""CID2323422"""
3,0.5362875,"""CNR3578899""","""CID5661102"""
1,0.1819859,"""CNR1089514""","""CID4125399"""
0,0.5017832,"""CNR9835984""","""CID9964638"""
3,0.36374465,"""CNR1643972""","""CID3506515"""
1,0.40711248,"""CNR2939495""","""CID2801589"""
0,0.55075747,"""CNR4997006""","""CID6970636"""
1,0.54076177,"""CNR3684938""","""CID6381738"""
0,0.22813289,"""CNR8016082""","""CID3400110"""
3,0.17951177,"""CNR9166884""","""CID3068872"""
3,0.027239358,"""CNR5034553""","""CID2838731"""
0,0.56409806,"""CNR5994760""","""CID8677699"""
3,0.44894478,"""CNR8280553""","""CID4089830"""
1,0.2768722,"""CNR6304645""","""CID8878002"""
0,0.15442333,"""CNR8726920""","""CID1004784"""
3,0.4656078,"""CNR1583241""","""CID3000345"""
1,0.22401348,"""CNR4484602""","""CID7199241"""
1,0.22596681,"""CNR8525908""","""CID4158986"""
3,0.41462547,"""CNR8491180""","""CID4510240"""
3,0.54793406,"""CNR4866588""","""CID1441937"""
0,0.047539447,"""CNR1107433""","""CID3758873"""
3,0.064821124,"""CNR5804680""","""CID5921510"""
3,0.2836769,"""CNR3635060""","""CID5212455"""
2,0.04312102,"""CNR3550383""","""CID3308866"""
2,0.2542934,"""CNR4225693""","""CID4486029"""
4,0.4043658,"""CNR2221311""","""CID3075272"""
4,0.44451237,"""CNR7713513""","""CID3463027"""
1,0.5483673,"""CNR1286883""","""CID7499313"""
3,0.1883806,"""CNR5104000""","""CID5850345"""
2,0.22089487,"""CNR1748676""","""CID5855184"""
3,0.009983798,"""CNR9018332""","""CID5244532"""
4,0.55785275,"""CNR6347706""","""CID7676450"""
3,0.29723662,"""CNR3245062""","""CID3655439"""
4,-0.0252944,"""CNR2353965""","""CID4723366"""
1,0.010252656,"""CNR3349418""","""CID1938710"""
1,0.3455412,"""CNR5038976""","""CID8313729"""
4,0.18764442,"""CNR9755184""","""CID3811968"""
4,0.15359221,"""CNR1872680""","""CID1362913"""
2,0.4124271,"""CNR1349127""","""CID3169109"""
3,0.2021441,"""CNR2230959""","""CID8978567"""
4,0.32577017,"""CNR9380391""","""CID2765374"""
0,0.33199075,"""CNR9895668""","""CID2656518"""
0,0.540787,"""CNR1918302""","""CID6415639"""
1,0.48825833,"""CNR2429657""","""CID3288614"""
4,0.41249073,"""CNR7937909""","""CID3192355"""
3,0.39097852,"""CNR7044315""","""CID2521883"""
1,0.4796552,"""CNR8024437""","""CID8921274"""
3,0.042899594,"""CNR4956091""","""CID5068009"""
0,0.55368096,"""CNR5377230""","""CID7586347"""
3,0.40990257,"""CNR3120739""","""CID5285181"""
1,0.2660912,"""CNR4763532""","""CID3554977"""
0,0.57892054,"""CNR5897670""","""CID3538617"""
2,0.322611,"""CNR7975978""","""CID6240053"""
1,0.22291137,"""CNR8129409""","""CID3329487"""
3,0.008443307,"""CNR2244899""","""CID7332345"""
1,0.50614434,"""CNR3178616""","""CID6827919"""
0,0.20647584,"""CNR9398491""","""CID4442768"""
4,0.48380664,"""CNR1365010""","""CID6704179"""
0,0.0815066,"""CNR7934360""","""CID7563867"""
2,0.35067222,"""CNR3466923""","""CID6417399"""
0,0.4540878,"""CNR1772188""","""CID9995196"""
4,0.0968923,"""CNR6221378""","""CID4952284"""
3,0.5015363,"""CNR9154449""","""CID1077586"""
4,0.47393602,"""CNR2310347""","""CID1012548"""
1,0.41316542,"""CNR5161112""","""CID1845980"""
2,0.20832692,"""CNR4746570""","""CID4041893"""
1,0.009553655,"""CNR5206507""","""CID9160368"""
2,0.5040991,"""CNR1105649""","""CID2416362"""
1,0.48569214,"""CNR6561675""","""CID4709340"""
3,0.20954578,"""CNR6735246""","""CID4830877"""
1,0.31704345,"""CNR9393355""","""CID2207388"""
1,0.5247742,"""CNR7041170""","""CID3351210"""
4,0.4830459,"""CNR7015962""","""CID3453799"""
3,0.52118087,"""CNR2820483""","""CID2955701"""
3,0.3881173,"""CNR8192504""","""CID2186576"""
1,0.24496943,"""CNR5614673""","""CID1336911"""
1,0.54637873,"""CNR8765520""","""CID9963800"""
0,0.28207862,"""CNR2066424""","""CID6053450"""
4,0.5606204,"""CNR4566796""","""CID7109338"""
1,0.5459121,"""CNR4733031""","""CID4204069"""
3,0.06868295,"""CNR7239129""","""CID6041120"""
0,0.55228525,"""CNR7089866""","""CID8788583"""
2,0.26517072,"""CNR8341687""","""CID8711272"""
4,0.18047376,"""CNR9138999""","""CID6864518"""
4,0.2527624,"""CNR4704280""","""CID7724201"""
2,0.19070588,"""CNR9540934""","""CID8987509"""
1,0.132953,"""CNR9190112""","""CID2588384"""
3,0.33303463,"""CNR3039145""","""CID8157003"""
